subject,session_code,lab_visit,total_runtime_mins,block_type,dom_key,nondom_key,gradcpt_trial,frame_count,transition_step,coherence,condition,resp_key,rt
05,2,2,6.244460433333333,gonogo,f,j,1,65,65,0.6770833333333334,dom,f,0.525814
05,2,2,6.255645066666667,gonogo,f,j,2,144,48,0.5,dom,f,0.404297
05,2,2,6.270394366666666,gonogo,f,j,3,250,58,0.6041666666666666,dom,f,0.479095
05,2,2,6.282844033333333,gonogo,f,j,4,340,52,0.5416666666666666,dom,f,0.429365
05,2,2,6.297461216666666,gonogo,f,j,5,445,61,0.6354166666666666,dom,f,0.502838
05,2,2,6.3096533,gonogo,f,j,6,533,53,0.5520833333333334,dom,f,0.438169
05,2,2,6.324661366666667,gonogo,f,j,7,641,65,0.6770833333333334,dom,f,0.538146
05,2,2,6.34033565,gonogo,f,j,8,754,82,0.8541666666666666,dom,f,0.671965
05,2,2,6.351663716666667,gonogo,f,j,9,836,68,0.7083333333333334,dom,f,0.558566
05,2,2,6.366032533333334,gonogo,f,j,10,939,75,0.78125,dom,f,0.615178
05,2,2,6.378127283333333,gonogo,f,j,11,1026,66,0.6875,dom,f,0.544443
05,2,2,6.391529816666666,gonogo,f,j,12,1123,67,0.6979166666666666,dom,f,0.546201
05,2,2,6.40551255,gonogo,f,j,13,1223,71,0.7395833333333334,dom,f,0.582419
05,2,2,6.4180926,gonogo,f,j,14,1314,66,0.6875,dom,f,0.544341
05,2,2,6.4343923,gonogo,f,j,15,1431,87,0.90625,dom,f,0.722679
05,2,2,6.446495016666666,gonogo,f,j,16,1518,78,0.8125,dom,f,0.644405
05,2,2,6.458976116666666,gonogo,f,j,17,1608,72,0.75,dom,f,0.594784
05,2,2,6.4708108,gonogo,f,j,18,1693,61,0.6354166666666666,dom,f,0.505257
05,2,2,6.484121683333333,gonogo,f,j,19,1789,61,0.6354166666666666,dom,f,0.502673
05,2,2,6.502351316666666,gonogo,f,j,20,1920,96,1.0,nondom,0,0.0
05,2,2,6.509950716666666,gonogo,f,j,21,1975,55,0.5729166666666666,dom,f,0.455934
05,2,2,6.524231283333333,gonogo,f,j,22,2078,62,0.6458333333333334,dom,f,0.510886
05,2,2,6.536997266666666,gonogo,f,j,23,2170,58,0.6041666666666666,dom,f,0.475067
05,2,2,6.5531819,gonogo,f,j,24,2286,78,0.8125,dom,f,0.645806
05,2,2,6.5647936,gonogo,f,j,25,2370,66,0.6875,dom,f,0.545662
05,2,2,6.578139966666667,gonogo,f,j,26,2466,66,0.6875,dom,f,0.543856
05,2,2,6.5934691333333335,gonogo,f,j,27,2577,81,0.84375,dom,f,0.66306
05,2,2,6.606173533333333,gonogo,f,j,28,2668,76,0.7916666666666666,dom,f,0.629128
05,2,2,6.619158783333333,gonogo,f,j,29,2762,74,0.7708333333333334,dom,f,0.604712
05,2,2,6.633194316666667,gonogo,f,j,30,2863,79,0.8229166666666666,dom,f,0.643428
05,2,2,6.649129883333333,gonogo,f,j,31,2976,96,1.0,dom,0,0.0
05,2,2,6.6502461,gonogo,f,j,32,2985,9,0.09375,dom,f,0.066937
05,2,2,6.658746383333334,gonogo,f,j,32,3047,71,0.7395833333333334,dom,f,0.576949
05,2,2,6.668967666666666,gonogo,f,j,33,3120,48,0.5,dom,f,0.392409
05,2,2,6.681463016666667,gonogo,f,j,34,3210,42,0.4375,dom,f,0.338776
05,2,2,6.696231166666666,gonogo,f,j,35,3316,52,0.5416666666666666,dom,f,0.432567
05,2,2,6.7156863499999995,gonogo,f,j,36,3456,96,1.0,nondom,0,0.0
05,2,2,6.723816433333334,gonogo,f,j,37,3515,59,0.6145833333333334,dom,f,0.487777
05,2,2,6.735951083333333,gonogo,f,j,38,3602,50,0.5208333333333334,dom,f,0.416038
05,2,2,6.750615466666667,gonogo,f,j,39,3708,60,0.625,dom,f,0.493579
05,2,2,6.763559616666667,gonogo,f,j,40,3801,57,0.59375,nondom,f,0.468438
05,2,2,6.7780586,gonogo,f,j,41,3906,66,0.6875,dom,f,0.541171
05,2,2,7.153965033333334,gonogo,f,j,42,3983,46,0.4791666666666667,dom,f,0.36608
05,2,2,7.167723183333334,gonogo,f,j,43,4082,49,0.5104166666666666,dom,f,0.398391
05,2,2,7.180000066666667,gonogo,f,j,44,4170,41,0.4270833333333333,dom,f,0.338649
05,2,2,7.192655566666667,gonogo,f,j,45,4262,37,0.3854166666666667,dom,f,0.301335
05,2,2,7.206945916666667,gonogo,f,j,46,4365,44,0.4583333333333333,nondom,f,0.359103
05,2,2,7.219838033333334,gonogo,f,j,47,4457,40,0.4166666666666667,dom,f,0.328875
05,2,2,7.232999483333333,gonogo,f,j,48,4552,39,0.40625,dom,f,0.315164
05,2,2,7.246171383333333,gonogo,f,j,49,4647,38,0.3958333333333333,dom,f,0.312315
05,2,2,7.259798983333334,gonogo,f,j,50,4745,40,0.4166666666666667,dom,f,0.329276
05,2,2,7.273433183333333,gonogo,f,j,51,4843,42,0.4375,dom,f,0.34708
05,2,2,7.2894513,gonogo,f,j,52,4958,61,0.6354166666666666,dom,f,0.504602
05,2,2,7.302361666666667,gonogo,f,j,53,5051,58,0.6041666666666666,dom,f,0.471821
05,2,2,7.315263383333333,gonogo,f,j,54,5143,54,0.5625,dom,f,0.449473
05,2,2,7.329448433333334,gonogo,f,j,55,5246,61,0.6354166666666666,dom,f,0.500527
05,2,2,7.347828783333333,gonogo,f,j,56,5377,96,1.0,nondom,0,0.0
05,2,2,7.354218166666667,gonogo,f,j,57,5424,47,0.4895833333333333,nondom,f,0.383315
05,2,2,7.3700885666666665,gonogo,f,j,58,5538,65,0.6770833333333334,dom,f,0.53731
05,2,2,7.3806023666666665,gonogo,f,j,59,5614,45,0.46875,dom,f,0.366669
05,2,2,7.397150516666667,gonogo,f,j,60,5733,68,0.7083333333333334,dom,f,0.555942
05,2,2,7.408469866666667,gonogo,f,j,61,5814,53,0.5520833333333334,dom,f,0.439958
05,2,2,7.4204482,gonogo,f,j,62,5901,44,0.4583333333333333,dom,f,0.353744
05,2,2,7.434578383333333,gonogo,f,j,63,6003,50,0.5208333333333334,dom,f,0.405565
05,2,2,7.447845816666667,gonogo,f,j,64,6098,49,0.5104166666666666,dom,f,0.401466
05,2,2,7.463379216666667,gonogo,f,j,65,6210,65,0.6770833333333334,dom,f,0.532534
05,2,2,7.478166,gonogo,f,j,66,6316,75,0.78125,dom,f,0.62205
05,2,2,7.490096733333333,gonogo,f,j,67,6402,65,0.6770833333333334,dom,f,0.539728
05,2,2,7.505221833333334,gonogo,f,j,68,6511,78,0.8125,dom,f,0.643259
05,2,2,7.52116635,gonogo,f,j,69,6625,96,1.0,nondom,0,0.0
05,2,2,7.530533916666667,gonogo,f,j,70,6693,68,0.7083333333333334,dom,f,0.562027
05,2,2,7.544501166666667,gonogo,f,j,71,6794,73,0.7604166666666666,dom,f,0.603728
05,2,2,7.554999183333334,gonogo,f,j,72,6870,53,0.5520833333333334,dom,f,0.427977
05,2,2,7.56941655,gonogo,f,j,73,6973,60,0.625,dom,f,0.493162
05,2,2,7.58487535,gonogo,f,j,74,7084,75,0.78125,dom,f,0.625754
05,2,2,7.596449516666667,gonogo,f,j,75,7168,63,0.65625,dom,f,0.514965
05,2,2,7.610391616666666,gonogo,f,j,76,7268,67,0.6979166666666666,dom,f,0.557349
05,2,2,7.622442666666667,gonogo,f,j,77,7355,58,0.6041666666666666,dom,f,0.472901
05,2,2,7.638129116666667,gonogo,f,j,78,7468,75,0.78125,dom,f,0.615926
05,2,2,7.650984766666666,gonogo,f,j,79,7561,72,0.75,dom,f,0.586939
05,2,2,7.6642771666666665,gonogo,f,j,80,7656,71,0.7395833333333334,dom,f,0.583405
05,2,2,8.142142483333334,gonogo,f,j,81,7746,64,0.6666666666666666,dom,f,0.514479
05,2,2,8.154622483333334,gonogo,f,j,82,7836,58,0.6041666666666666,dom,f,0.474013
05,2,2,8.166085733333334,gonogo,f,j,83,7918,44,0.4583333333333333,dom,f,0.362216
05,2,2,8.179943666666667,gonogo,f,j,84,8018,48,0.5,nondom,f,0.390623
05,2,2,8.191690016666666,gonogo,f,j,85,8103,37,0.3854166666666667,dom,f,0.2986
05,2,2,8.205808883333333,gonogo,f,j,86,8204,42,0.4375,dom,f,0.340656
05,2,2,8.219889916666666,gonogo,f,j,87,8306,48,0.5,dom,f,0.388926
05,2,2,8.233310233333333,gonogo,f,j,88,8402,48,0.5,dom,f,0.398215
05,2,2,8.248895433333333,gonogo,f,j,89,8515,65,0.6770833333333334,nondom,f,0.533712
05,2,2,8.262965466666666,gonogo,f,j,90,8616,70,0.7291666666666666,dom,f,0.570863
05,2,2,8.275265816666666,gonogo,f,j,91,8704,62,0.6458333333333334,dom,f,0.510733
05,2,2,8.289985916666668,gonogo,f,j,92,8811,73,0.7604166666666666,dom,f,0.596632
05,2,2,8.303747,gonogo,f,j,93,8909,75,0.78125,dom,f,0.621957
05,2,2,8.314355583333333,gonogo,f,j,94,8986,56,0.5833333333333334,dom,f,0.457242
05,2,2,8.327560316666666,gonogo,f,j,95,9081,55,0.5729166666666666,dom,f,0.448024
05,2,2,8.3409283,gonogo,f,j,96,9177,55,0.5729166666666666,dom,f,0.45098
05,2,2,8.35519095,gonogo,f,j,97,9280,62,0.6458333333333334,dom,f,0.511616
05,2,2,8.369123416666666,gonogo,f,j,98,9380,66,0.6875,dom,f,0.544122
05,2,2,8.386657016666666,gonogo,f,j,99,9506,96,1.0,nondom,0,0.0
05,2,2,8.394957183333334,gonogo,f,j,100,9566,60,0.625,dom,f,0.497982
05,2,2,8.409922983333333,gonogo,f,j,101,9674,72,0.75,dom,f,0.593433
05,2,2,8.426752916666667,gonogo,f,j,102,9794,96,1.0,nondom,0,0.0
05,2,2,8.43999145,gonogo,f,j,103,9890,96,1.0,nondom,0,0.0
05,2,2,8.447501716666666,gonogo,f,j,104,9945,55,0.5729166666666666,dom,f,0.450594
05,2,2,8.461091233333333,gonogo,f,j,105,10042,56,0.5833333333333334,dom,f,0.465214
05,2,2,8.474408316666667,gonogo,f,j,106,10138,56,0.5833333333333334,dom,f,0.459331
05,2,2,8.489302766666666,gonogo,f,j,107,10246,68,0.7083333333333334,dom,f,0.558632
05,2,2,8.503119233333333,gonogo,f,j,108,10345,71,0.7395833333333334,dom,f,0.586914
05,2,2,8.516160783333333,gonogo,f,j,109,10439,69,0.71875,dom,f,0.56277
05,2,2,8.52899585,gonogo,f,j,110,10531,65,0.6770833333333334,dom,f,0.539394
05,2,2,8.544530783333332,gonogo,f,j,111,10643,81,0.84375,dom,f,0.668353
05,2,2,8.559614233333333,gonogo,f,j,112,10752,94,0.9791666666666666,dom,f,0.77057
05,2,2,8.571821066666667,gonogo,f,j,113,10840,86,0.8958333333333334,dom,f,0.708269
05,2,2,8.586731483333333,gonogo,f,j,114,10946,96,1.0,dom,0,0.0
05,2,2,8.58684575,gonogo,f,j,115,10947,1,0.010416666666666666,dom,f,0.006821
05,2,2,8.597998683333334,gonogo,f,j,115,11028,82,0.8541666666666666,dom,f,0.676002
05,2,2,8.613327333333332,gonogo,f,j,116,11138,96,1.0,nondom,0,0.0
05,2,2,8.963848716666666,gonogo,f,j,117,11207,68,0.7083333333333334,dom,f,0.556746
05,2,2,8.981153916666667,gonogo,f,j,118,11331,96,1.0,nondom,0,0.0
05,2,2,8.991340266666667,gonogo,f,j,119,11405,74,0.7708333333333334,dom,f,0.611143
05,2,2,9.002723416666667,gonogo,f,j,120,11487,60,0.625,dom,f,0.493118
05,2,2,9.017378433333333,gonogo,f,j,121,11593,70,0.7291666666666666,dom,f,0.568324
05,2,2,9.0305195,gonogo,f,j,122,11687,68,0.7083333333333334,dom,f,0.559202
05,2,2,9.047219416666668,gonogo,f,j,123,11808,93,0.96875,dom,f,0.767185
05,2,2,9.056962083333334,gonogo,f,j,124,11878,67,0.6979166666666666,dom,f,0.549855
05,2,2,9.074440116666667,gonogo,f,j,125,12003,96,1.0,nondom,0,0.0
05,2,2,9.0820285,gonogo,f,j,126,12058,55,0.5729166666666666,dom,f,0.455274
05,2,2,9.097187499999999,gonogo,f,j,127,12167,68,0.7083333333333334,dom,f,0.561787
05,2,2,9.11277705,gonogo,f,j,128,12280,85,0.8854166666666666,dom,f,0.693013
05,2,2,9.124014283333334,gonogo,f,j,129,12360,69,0.71875,dom,f,0.574811
05,2,2,9.137145933333333,gonogo,f,j,130,12455,68,0.7083333333333334,dom,f,0.559528
05,2,2,9.150153333333332,gonogo,f,j,131,12549,66,0.6875,dom,f,0.538692
05,2,2,9.164566116666666,gonogo,f,j,132,12652,73,0.7604166666666666,dom,f,0.602718
05,2,2,9.181197983333334,gonogo,f,j,133,12771,96,1.0,nondom,0,0.0
05,2,2,9.190389333333334,gonogo,f,j,134,12838,67,0.6979166666666666,dom,f,0.55145
05,2,2,9.2042865,gonogo,f,j,135,12938,71,0.7395833333333334,dom,f,0.587014
05,2,2,9.2182517,gonogo,f,j,136,13039,76,0.7916666666666666,dom,f,0.625599
05,2,2,9.234507366666666,gonogo,f,j,137,13155,96,1.0,dom,0,0.0
05,2,2,9.234616266666666,gonogo,f,j,138,13156,1,0.010416666666666666,dom,f,0.006498
05,2,2,9.244722266666667,gonogo,f,j,138,13230,75,0.78125,dom,f,0.612868
05,2,2,9.261176,gonogo,f,j,139,13347,96,1.0,dom,0,0.0
05,2,2,9.261449133333334,gonogo,f,j,140,13350,3,0.03125,dom,f,0.01636
05,2,2,9.271603566666666,gonogo,f,j,140,13423,76,0.7916666666666666,dom,f,0.625621
05,2,2,9.285200316666668,gonogo,f,j,141,13519,76,0.7916666666666666,dom,f,0.643666
05,2,2,9.297868383333334,gonogo,f,j,142,13611,72,0.75,dom,f,0.596795
05,2,2,9.31073845,gonogo,f,j,143,13704,69,0.71875,dom,f,0.56498
05,2,2,9.323883866666668,gonogo,f,j,144,13799,68,0.7083333333333334,dom,f,0.551482
05,2,2,9.3372961,gonogo,f,j,145,13895,68,0.7083333333333334,dom,f,0.562128
05,2,2,9.351089833333333,gonogo,f,j,146,13994,71,0.7395833333333334,dom,f,0.583452
05,2,2,9.365495483333332,gonogo,f,j,147,14098,79,0.8229166666666666,dom,f,0.650298
05,2,2,9.378252516666667,gonogo,f,j,148,14190,75,0.78125,dom,f,0.614503
05,2,2,9.392448383333335,gonogo,f,j,149,14292,81,0.84375,dom,f,0.665901
05,2,2,9.841874066666666,gonogo,f,j,150,14374,66,0.6875,dom,f,0.53193
05,2,2,9.859436283333334,gonogo,f,j,151,14500,96,1.0,nondom,0,0.0
05,2,2,9.8682643,gonogo,f,j,152,14564,64,0.6666666666666666,dom,f,0.529655
05,2,2,9.881337033333333,gonogo,f,j,153,14658,62,0.6458333333333334,dom,f,0.509392
05,2,2,9.895972116666666,gonogo,f,j,154,14764,72,0.75,dom,f,0.591936
05,2,2,9.9083978,gonogo,f,j,155,14853,65,0.6770833333333334,dom,f,0.537358
05,2,2,9.923616216666666,gonogo,f,j,156,14963,79,0.8229166666666666,dom,f,0.647009
05,2,2,9.9357737,gonogo,f,j,157,15050,70,0.7291666666666666,dom,f,0.578504
05,2,2,9.949250866666667,gonogo,f,j,158,15147,71,0.7395833333333334,dom,f,0.584451
05,2,2,9.963570866666666,gonogo,f,j,159,15250,78,0.8125,dom,f,0.646836
05,2,2,9.9777869,gonogo,f,j,160,15353,85,0.8854166666666666,dom,f,0.692979
05,2,2,9.989950733333334,gonogo,f,j,161,15440,76,0.7916666666666666,dom,f,0.627789
05,2,2,10.002891983333335,gonogo,f,j,162,15533,73,0.7604166666666666,dom,f,0.60715
05,2,2,10.01950645,gonogo,f,j,163,15652,96,1.0,nondom,0,0.0
05,2,2,10.032852466666666,gonogo,f,j,164,15748,96,1.0,nondom,0,0.0
05,2,2,10.041296866666666,gonogo,f,j,165,15810,62,0.6458333333333334,dom,f,0.506642
05,2,2,10.05514315,gonogo,f,j,166,15909,65,0.6770833333333334,dom,f,0.54244
05,2,2,10.072846633333334,gonogo,f,j,167,16036,96,1.0,nondom,0,0.0
05,2,2,10.083195083333333,gonogo,f,j,168,16112,76,0.7916666666666666,dom,f,0.620871
05,2,2,10.097068266666668,gonogo,f,j,169,16211,79,0.8229166666666666,dom,f,0.653738
05,2,2,10.112136366666666,gonogo,f,j,170,16319,91,0.9479166666666666,dom,f,0.760274
05,2,2,10.126108033333333,gonogo,f,j,171,16420,96,1.0,dom,0,0.0
05,2,2,10.1262091,gonogo,f,j,172,16421,1,0.010416666666666666,nondom,f,0.006032
05,2,2,10.14928385,gonogo,f,j,173,16587,71,0.7395833333333334,dom,f,0.590846
05,2,2,10.162987483333334,gonogo,f,j,174,16686,74,0.7708333333333334,dom,f,0.610568
05,2,2,10.174976233333332,gonogo,f,j,175,16772,64,0.6666666666666666,dom,f,0.526954
05,2,2,10.192537816666666,gonogo,f,j,176,16899,95,0.9895833333333334,dom,f,0.786235
05,2,2,10.206189033333334,gonogo,f,j,177,16996,96,1.0,nondom,0,0.0
05,2,2,10.216323533333334,gonogo,f,j,178,17070,74,0.7708333333333334,dom,f,0.608041
05,2,2,10.232209183333334,gonogo,f,j,179,17184,92,0.9583333333333334,dom,f,0.766719
05,2,2,10.246128166666667,gonogo,f,j,180,17284,96,1.0,dom,0,0.0
05,2,2,10.2474282,gonogo,f,j,181,17294,10,0.10416666666666667,dom,f,0.077981
05,2,2,10.259615016666666,gonogo,f,j,182,17381,1,0.010416666666666666,dom,f,0.006704
05,2,2,10.760501216666666,gonogo,f,j,183,17535,58,0.6041666666666666,dom,f,0.467201
05,2,2,10.776526966666667,gonogo,f,j,184,17651,78,0.8125,dom,f,0.638935
05,2,2,10.78830015,gonogo,f,j,185,17735,66,0.6875,dom,f,0.542137
05,2,2,10.805845566666667,gonogo,f,j,186,17861,96,1.0,nondom,0,0.0
05,2,2,10.812818616666668,gonogo,f,j,187,17912,51,0.53125,dom,f,0.418356
05,2,2,10.826594016666666,gonogo,f,j,188,18011,54,0.5625,dom,f,0.441814
05,2,2,10.84202155,gonogo,f,j,189,18122,69,0.71875,dom,f,0.564688
05,2,2,10.8553162,gonogo,f,j,190,18218,69,0.71875,dom,f,0.563802
05,2,2,10.87076005,gonogo,f,j,191,18329,84,0.875,dom,f,0.696002
05,2,2,10.881668416666667,gonogo,f,j,192,18408,67,0.6979166666666666,dom,f,0.548574
05,2,2,10.897298900000001,gonogo,f,j,193,18520,83,0.8645833333333334,dom,f,0.683431
05,2,2,10.910753583333333,gonogo,f,j,194,18617,84,0.875,dom,f,0.689266
05,2,2,10.925928,gonogo,f,j,195,18725,96,1.0,dom,0,0.0
05,2,2,10.926760983333333,gonogo,f,j,196,18732,7,0.07291666666666667,dom,f,0.049952
05,2,2,10.937058,gonogo,f,j,196,18806,81,0.84375,dom,f,0.667772
05,2,2,10.951953133333335,gonogo,f,j,197,18913,92,0.9583333333333334,dom,f,0.767444
05,2,2,10.962758933333333,gonogo,f,j,198,18991,74,0.7708333333333334,dom,f,0.61015
05,2,2,10.978162900000001,gonogo,f,j,199,19102,89,0.9270833333333334,dom,f,0.739866
05,2,2,10.992509916666668,gonogo,f,j,200,19205,96,1.0,dom,0,0.0
05,2,2,10.993608066666667,gonogo,f,j,201,19214,9,0.09375,nondom,f,0.065855
05,2,2,11.014432216666668,gonogo,f,j,202,19363,62,0.6458333333333334,dom,f,0.51619
05,2,2,11.031596216666665,gonogo,f,j,203,19487,90,0.9375,dom,f,0.746366
05,2,2,11.04591345,gonogo,f,j,204,19589,96,1.0,dom,0,0.0
05,2,2,11.048393916666667,gonogo,f,j,205,19608,19,0.19791666666666666,dom,f,0.148803
05,2,2,11.057581449999999,gonogo,f,j,205,19674,85,0.8854166666666666,dom,f,0.700055
05,2,2,11.070965916666667,gonogo,f,j,206,19770,85,0.8854166666666666,dom,f,0.701074
05,2,2,11.085899516666666,gonogo,f,j,207,19877,96,1.0,dom,0,0.0
05,2,2,11.087304833333333,gonogo,f,j,208,19888,11,0.11458333333333333,dom,f,0.084293
05,2,2,11.10105245,gonogo,f,j,209,19987,14,0.14583333333333334,dom,f,0.113674
05,2,2,11.111112983333333,gonogo,f,j,209,20060,87,0.90625,dom,f,0.717311
05,2,2,11.11260435,gonogo,f,j,210,20070,1,0.010416666666666666,dom,f,0.006485
05,2,2,11.126245933333333,gonogo,f,j,211,20169,4,0.041666666666666664,dom,f,0.020573
05,2,2,11.1348417,gonogo,f,j,211,20230,65,0.6770833333333334,dom,f,0.536317
05,2,2,11.151893583333333,gonogo,f,j,212,20353,92,0.9583333333333334,dom,f,0.759339
05,2,2,11.163563083333335,gonogo,f,j,213,20437,80,0.8333333333333334,dom,f,0.664078
05,2,2,11.177360266666666,gonogo,f,j,214,20536,83,0.8645833333333334,dom,f,0.687647
05,2,2,11.190977933333333,gonogo,f,j,215,20635,86,0.8958333333333334,dom,f,0.707112
05,2,2,11.2041715,gonogo,f,j,216,20730,85,0.8854166666666666,dom,f,0.700723
05,2,2,11.219216600000001,gonogo,f,j,217,20837,96,1.0,nondom,0,0.0
05,2,2,11.232606299999999,gonogo,f,j,218,20933,96,1.0,nondom,0,0.0
05,2,2,11.591400966666667,gonogo,f,j,219,20994,60,0.625,dom,f,0.484835
05,2,2,11.605510833333334,gonogo,f,j,220,21095,65,0.6770833333333334,dom,f,0.534463
05,2,2,11.618808516666666,gonogo,f,j,221,21191,65,0.6770833333333334,dom,f,0.532709
05,2,2,11.631033933333333,gonogo,f,j,222,21279,57,0.59375,dom,f,0.466179
05,2,2,11.644396616666667,gonogo,f,j,223,21375,57,0.59375,dom,f,0.468991
05,2,2,11.658681066666666,gonogo,f,j,224,21478,64,0.6666666666666666,dom,f,0.523828
05,2,2,11.676545016666667,gonogo,f,j,225,21606,96,1.0,nondom,0,0.0
05,2,2,11.687197033333332,gonogo,f,j,226,21683,77,0.8020833333333334,dom,f,0.639096
05,2,2,11.703210916666666,gonogo,f,j,227,21798,96,1.0,nondom,0,0.0
05,2,2,11.713403099999999,gonogo,f,j,228,21871,73,0.7604166666666666,dom,f,0.611505
05,2,2,11.724812983333333,gonogo,f,j,229,21954,60,0.625,dom,f,0.492122
05,2,2,11.739168833333334,gonogo,f,j,230,22058,68,0.7083333333333334,dom,f,0.555681
05,2,2,11.752872516666667,gonogo,f,j,231,22156,70,0.7291666666666666,dom,f,0.579141
05,2,2,11.766696466666668,gonogo,f,j,232,22256,74,0.7708333333333334,dom,f,0.603465
05,2,2,11.780002083333333,gonogo,f,j,233,22352,74,0.7708333333333334,dom,f,0.607264
05,2,2,11.796587066666666,gonogo,f,j,234,22470,96,1.0,nondom,0,0.0
05,2,2,11.807142833333334,gonogo,f,j,235,22547,77,0.8020833333333334,dom,f,0.633314
05,2,2,11.819566983333335,gonogo,f,j,236,22636,70,0.7291666666666666,dom,f,0.575394
05,2,2,11.834445333333333,gonogo,f,j,237,22744,82,0.8541666666666666,dom,f,0.671166
05,2,2,11.849726,gonogo,f,j,238,22854,96,1.0,dom,f,0.789034
05,2,2,11.862159316666666,gonogo,f,j,239,22943,89,0.9270833333333334,dom,f,0.733439
05,2,2,11.87463585,gonogo,f,j,240,23033,83,0.8645833333333334,dom,f,0.680705
05,2,2,11.888992683333333,gonogo,f,j,241,23136,90,0.9375,dom,f,0.748224
05,2,2,11.903291916666666,gonogo,f,j,242,23238,96,1.0,dom,0,0.0
05,2,2,11.906559333333332,gonogo,f,j,243,23263,25,0.2604166666666667,dom,f,0.196015
05,2,2,11.9158107,gonogo,f,j,243,23329,91,0.9479166666666666,dom,f,0.751098
05,2,2,11.928956216666668,gonogo,f,j,244,23424,90,0.9375,dom,f,0.746164
